"event.id","animalID","timestamp","location.long","location.lat"
8551,2,2008-10-30 00:42:00,16.2038606666612,-19.065404027221
8552,2,2008-10-30 01:42:00,16.2084024173757,-19.0706694402354
8553,2,2008-10-30 02:42:00,16.2094811479198,-19.0698943062149
8554,2,2008-10-30 03:42:00,16.2138541235599,-19.0689077563413
8555,2,2008-10-30 04:42:00,16.2191413114527,-19.0661078639915
8556,2,2008-10-30 05:42:00,16.2267864221662,-19.0596145155342
8557,2,2008-10-30 06:42:00,16.2461250365147,-19.0638583019613
8558,2,2008-10-30 07:42:00,16.255227727924,-19.0822478855916
8559,2,2008-10-30 08:42:00,16.265623028731,-19.087345305777
8560,2,2008-10-30 09:42:00,16.2662309420771,-19.0874224520125
8561,2,2008-10-30 10:42:00,16.2661997167941,-19.0874407382916
8562,2,2008-10-30 11:42:00,16.2662419458629,-19.0874946632251
8563,2,2008-10-30 12:42:00,16.266246354306,-19.0874494536628
8564,2,2008-10-30 13:42:00,16.2669592109687,-19.0874535894537
8565,2,2008-10-30 14:42:00,16.2727755363066,-19.0872870042234
8566,2,2008-10-30 15:42:00,16.2764294567702,-19.0898279034002
8567,2,2008-10-30 16:42:00,16.2937125201982,-19.0894904986245
8568,2,2008-10-30 17:42:00,16.3074986108125,-19.0818664106999
8569,2,2008-10-30 18:42:00,16.3152757224069,-19.0847657553235
8570,2,2008-10-30 19:42:00,16.3182473636084,-19.0907351957778
8571,2,2008-10-30 20:42:00,16.3182534681509,-19.0964276440401
8572,2,2008-10-30 21:42:00,16.3278336208106,-19.1062438482848
8573,2,2008-10-30 22:42:00,16.3445780202607,-19.1160072781771
8574,2,2008-10-30 23:42:00,16.3512589351133,-19.1341650299278
8575,2,2008-10-31 00:42:00,16.3444640500428,-19.135172609609
8576,2,2008-10-31 01:42:00,16.3409845060609,-19.1329300838691
8577,2,2008-10-31 02:42:00,16.3394871063886,-19.1316217990751
8578,2,2008-10-31 03:42:00,16.3377000729775,-19.1307041388227
8579,2,2008-10-31 04:42:00,16.3345834725913,-19.1260463295148
8580,2,2008-10-31 05:42:00,16.3294898979656,-19.1175987456691
8581,2,2008-10-31 06:42:00,16.3255242228686,-19.1132089166012
8582,2,2008-10-31 07:42:00,16.3255578942292,-19.1134978152872
8583,2,2008-10-31 08:42:00,16.3249031381708,-19.112924247304
8584,2,2008-10-31 09:42:00,16.3249214857377,-19.1129602578861
8585,2,2008-10-31 10:42:00,16.324886244977,-19.1129514759015
8586,2,2008-10-31 11:42:00,16.3249898649971,-19.1128332663418
8587,2,2008-10-31 12:42:00,16.3249775084082,-19.1128333552953
8588,2,2008-10-31 13:42:00,16.3249763419489,-19.1128062566995
8589,2,2008-10-31 14:42:00,16.3251598471449,-19.1129314348789
8590,2,2008-10-31 15:42:00,16.3251345126867,-19.1144044303589
8591,2,2008-10-31 16:42:00,16.3245983998952,-19.116314814591
8592,2,2008-10-31 17:42:00,16.3258561153175,-19.1185917787395
8593,2,2008-10-31 18:42:00,16.3271503556133,-19.1181758442287
8594,2,2008-10-31 19:42:00,16.3278663588011,-19.1192730281269
8595,2,2008-10-31 20:42:00,16.3282065801611,-19.1221168015853
8596,2,2008-10-31 21:42:00,16.331974290515,-19.1231196249705
8597,2,2008-10-31 22:42:00,16.3346056368677,-19.1224138471204
8598,2,2008-10-31 23:42:00,16.3354287403718,-19.1225163017891
8599,2,2008-11-01 00:42:00,16.3354256640551,-19.1226066803693
8600,2,2008-11-01 01:42:00,16.3354124563666,-19.1221459593546
8601,2,2008-11-01 02:42:00,16.3354653902775,-19.1222268957511
8602,2,2008-11-01 03:42:00,16.3354531056351,-19.1222360205483
8603,2,2008-11-01 04:42:00,16.3371202642928,-19.1216185248528
8604,2,2008-11-01 05:42:00,16.3397052215013,-19.1248344691794
8605,2,2008-11-01 06:42:00,16.3511360992443,-19.1344912130134
8606,2,2008-11-01 07:42:00,16.3452846435094,-19.1320222236939
8607,2,2008-11-01 08:42:00,16.346636837596,-19.1312443022339
8608,2,2008-11-01 09:42:00,16.350387028419,-19.1329787397822
8609,2,2008-11-01 10:42:00,16.3519697197169,-19.134476050076
8610,2,2008-11-01 11:42:00,16.3486290181331,-19.1344734757711
8611,2,2008-11-01 12:42:00,16.3465967179026,-19.1332143531948
8612,2,2008-11-01 13:42:00,16.3454262848533,-19.1321386501052
8613,2,2008-11-01 14:42:00,16.3454559000931,-19.1321565046049
8614,2,2008-11-01 15:42:00,16.3451933836304,-19.1316705033472
8615,2,2008-11-01 16:42:00,16.3462859738426,-19.1294758962351
8616,2,2008-11-01 17:42:00,16.3479472491408,-19.1296534753557
8617,2,2008-11-01 18:42:00,16.347556221998,-19.1314905640066
8618,2,2008-11-01 19:42:00,16.3493842268901,-19.1336999114655
8619,2,2008-11-01 20:42:00,16.3492356786789,-19.1350744086918
8620,2,2008-11-01 21:42:00,16.3424736501815,-19.1356841101653
8621,2,2008-11-01 22:42:00,16.338396642138,-19.1327953318636
8622,2,2008-11-01 23:42:00,16.3374471570507,-19.1319980706593
8623,2,2008-11-02 00:42:00,16.3358211035425,-19.1305280484007
8624,2,2008-11-02 01:42:00,16.3358703728067,-19.1294434165109
8625,2,2008-11-02 02:42:00,16.3357452161062,-19.128893152834
8626,2,2008-11-02 03:42:00,16.3357463846056,-19.1289202512023
8627,2,2008-11-02 04:42:00,16.33459598291,-19.1283141801526
8628,2,2008-11-02 05:42:00,16.3364131784256,-19.1262499002287
8629,2,2008-11-02 06:42:00,16.3370699407253,-19.1281245355931
