"country" "continent" "happiness_score" "log_gdp" "social_support" "life_exp" "freedom" "generosity" "corruption" "pos_affect" "neg_affect"
"1" "Finland" "Europe" 7.7289981842041 10.8141927719116 0.974395155906677 71.2249984741211 0.958609104156494 0.102147363126278 0.190206691622734 0.741322875022888 0.191473111510277
"2" "Israel" "Asia" 7.66239738464355 10.6922731399536 0.953652739524841 72.8499984741211 0.77494740486145 -0.00487335724756122 0.654698848724365 0.582625329494476 0.18290202319622
"3" "Denmark" "Europe" 7.54496479034424 10.9942989349365 0.97030633687973 71.375 0.929547488689423 0.224115312099457 0.203140497207642 0.786820411682129 0.205441042780876
"4" "Iceland" "Europe" 7.4487943649292 10.9351119995117 0.984801113605499 72.0749969482422 0.935669004917145 0.221910580992699 0.692434132099152 0.76839417219162 0.177992820739746
"5" "Sweden" "Europe" 7.43121433258057 10.9126615524292 0.949338436126709 72.2750015258789 0.939461946487427 0.234011217951775 0.213236346840858 0.750373482704163 0.163275763392448
"6" "Netherlands" "Europe" 7.38963603973389 10.9809370040894 0.928908407688141 71.625 0.868093490600586 0.22434389591217 0.459351807832718 0.711127638816833 0.198002591729164
"7" "Norway" "Europe" 7.29460430145264 11.1112957000732 0.926571309566498 71.5500030517578 0.939022839069366 0.184594571590424 0.314442098140717 0.758709847927094 0.211092442274094
"8" "Luxembourg" "Europe" 7.22793483734131 11.6599493026733 0.877916991710663 71.6750030517578 0.915109932422638 0.0239496231079102 0.345176458358765 0.718450427055359 0.218083575367928
"9" "Costa Rica" "Americas" 7.07665824890137 9.99783706665039 0.901608407497406 70 0.91002631187439 -0.0470020323991776 0.750560998916626 0.793032348155975 0.271905601024628
"10" "Mexico" "Americas" 7.03836870193481 9.87617683410645 0.858360886573792 65.8000030517578 0.860889136791229 -0.120741829276085 0.780077338218689 0.817899823188782 0.20504866540432
"11" "Lithuania" "Europe" 7.0375771522522 10.6018371582031 0.937096536159515 67.75 0.709662258625031 -0.190841838717461 0.684991180896759 0.471465677022934 0.131619065999985
"12" "Australia" "Oceania" 7.03469610214233 10.8535289764404 0.941673338413239 71.125 0.85377699136734 0.153464660048485 0.545216977596283 0.710771858692169 0.243919715285301
"13" "Austria" "Europe" 6.9989972114563 10.9389171600342 0.876287400722504 71.2750015258789 0.855502605438232 0.139042094349861 0.524212121963501 0.717616438865662 0.226394817233086
"14" "New Zealand" "Oceania" 6.97498655319214 10.6816930770874 0.955588817596436 70.4250030517578 0.83067786693573 0.186723500490189 0.280524432659149 0.706345736980438 0.210213482379913
"15" "Canada" "Americas" 6.91793537139893 10.8033666610718 0.929101526737213 71.4499969482422 0.838263928890228 0.221541926264763 0.442000180482864 0.719482660293579 0.286747753620148
"16" "Switzerland" "Europe" 6.88384437561035 11.1841201782227 0.880787432193756 73.0999984741211 0.848361074924469 0.128131225705147 0.234620094299316 0.710059523582458 0.17994436621666
"17" "Ireland" "Europe" 6.86986398696899 11.6249141693115 0.906079292297363 71.4000015258789 0.895009517669678 0.140264257788658 0.357812255620956 0.737860202789307 0.234125688672066
"18" "Belgium" "Europe" 6.85687446594238 10.8782682418823 0.922732710838318 71.0500030517578 0.889889001846313 0.0969439968466759 0.483384430408478 0.718479692935944 0.234773248434067
"19" "Slovenia" "Europe" 6.72339773178101 10.6441650390625 0.941756725311279 71.2249984741211 0.930381834506989 0.101480677723885 0.762208223342896 0.624666810035706 0.241570964455605
"20" "United Kingdom" "Europe" 6.72177982330322 10.7537422180176 0.863439500331879 70.4000015258789 0.857062578201294 0.309394180774689 0.426054805517197 0.722764194011688 0.270162135362625
"21" "Czechia" "Europe" 6.69507741928101 10.656307220459 0.943601012229919 69.1750030517578 0.907834529876709 0.0939174145460129 0.831001460552216 0.742506980895996 0.245990261435509
"22" "United States" "Americas" 6.69279003143311 11.0785961151123 0.90026181936264 65.7249984741211 0.735639810562134 0.190581053495407 0.701127529144287 0.711595833301544 0.267307668924332
"23" "Uruguay" "Americas" 6.67085266113281 10.0841207504272 0.904825210571289 67.5 0.877968609333038 -0.0516682416200638 0.631336688995361 0.774694263935089 0.267484903335571
"24" "Poland" "Europe" 6.66626501083374 10.5088024139404 0.88644677400589 69.2249984741211 0.800018608570099 -0.206587344408035 0.667024731636047 0.593892157077789 0.140165835618973
"25" "France" "Europe" 6.61380672454834 10.7368783950806 0.865514636039734 72.4000015258789 0.798249363899231 -0.0249877143651247 0.532776713371277 0.688189685344696 0.248723462224007
"26" "Germany" "Europe" 6.6082067489624 10.8985261917114 0.915808022022247 71.5 0.895221889019012 0.0809241160750389 0.416577160358429 0.668037116527557 0.200957253575325
"27" "El Salvador" "Americas" 6.49215602874756 9.13488006591797 0.772380828857422 65.9499969482422 0.914063274860382 -0.112227663397789 0.621097445487976 0.822724938392639 0.296306878328323
"28" "Romania" "Europe" 6.43697357177734 10.4041290283203 0.83033674955368 67.1750030517578 0.836366534233093 -0.171969726681709 0.941487908363342 0.61509758234024 0.258411854505539
"29" "Chile" "Americas" 6.415198802948 10.1535625457764 0.886761963367462 70.4499969482422 0.793485581874847 -0.010977616533637 0.796396374702454 0.775208234786987 0.252545207738876
"30" "Nicaragua" "Americas" 6.39225769042969 8.66405010223389 0.84404182434082 65.7249984741211 0.913993656635284 -0.00119758665096015 0.570191979408264 0.787344217300415 0.338743954896927
"31" "Estonia" "Europe" 6.35711431503296 10.5713529586792 0.933332502841949 69.875 0.903950691223145 0.135741829872131 0.390300929546356 0.76695728302002 0.186810567975044
